technology,parameter,year,value,unit,source,further description
central solid biomass CHP,p_nom_ratio,2045,1.0,per unit,, from old pypsa cost assumptions
central water tank storage,FOM,2045,0.62,%/year,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",140 PTES seasonal:  Fixed O&M
central water tank storage,investment,2045,0.49,EUR/kWhCapacity,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",140 PTES seasonal:  Specific investment
central water tank storage,lifetime,2045,25.0,years,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",140 PTES seasonal:  Technical lifetime
clean water tank storage,FOM,2045,2.0,%/year,"Caldera et al 2016: Local cost of seawater RO desalination based on solar PV and windenergy: A global estimate. (https://doi.org/10.1016/j.desal.2016.02.004), Table 1.",
clean water tank storage,investment,2045,67.63,EUR/m^3-H2O,"Caldera et al 2016: Local cost of seawater RO desalination based on solar PV and windenergy: A global estimate. (https://doi.org/10.1016/j.desal.2016.02.004), Table 1.",
clean water tank storage,lifetime,2045,30.0,years,"Caldera et al 2016: Local cost of seawater RO desalination based on solar PV and windenergy: A global estimate. (https://doi.org/10.1016/j.desal.2016.02.004), Table 1.",
coal,CO2 intensity,2045,0.34,tCO2/MWh_th,Entwicklung der spezifischen Kohlendioxid-Emissionen des deutschen Strommix in den Jahren 1990 - 2018,
coal,FOM,2045,1.6,%/year,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
coal,VOM,2045,3.5,EUR/MWh_e,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
coal,efficiency,2045,0.33,per unit,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
coal,fuel,2045,8.15,EUR/MWh_th,BP 2019,
coal,investment,2045,3845.51,EUR/kW_e,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
coal,lifetime,2045,40.0,years,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
decentral CHP,FOM,2045,3.0,%/year,HP, from old pypsa cost assumptions
decentral CHP,discount rate,2045,0.04,per unit,Palzer thesis, from old pypsa cost assumptions
decentral CHP,investment,2045,1400.0,EUR/kWel,HP, from old pypsa cost assumptions
decentral CHP,lifetime,2045,25.0,years,HP, from old pypsa cost assumptions
decentral air-sourced heat pump,FOM,2045,3.1,%/year,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",207.3 Air to water existing:  Fixed O&M
decentral air-sourced heat pump,discount rate,2045,0.04,per unit,Palzer thesis, from old pypsa cost assumptions
decentral air-sourced heat pump,efficiency,2045,3.75,per unit,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx","207.3 Air to water existing:  Heat efficiency, annual average, net, radiators, existing one family house"
decentral air-sourced heat pump,investment,2045,782.5,EUR/kW_th,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",207.3 Air to water existing:  Specific investment
decentral air-sourced heat pump,lifetime,2045,18.0,years,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",207.3 Air to water existing:  Technical lifetime
decentral gas boiler,FOM,2045,6.72,%/year,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",202 Natural gas boiler:  Fixed O&M
decentral gas boiler,discount rate,2045,0.04,per unit,Palzer thesis, from old pypsa cost assumptions
decentral gas boiler,efficiency,2045,0.99,per unit,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx","202 Natural gas boiler:  Total efficiency, annual average, net"
decentral gas boiler,investment,2045,275.59,EUR/kW_th,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",202 Natural gas boiler:  Specific investment
decentral gas boiler,lifetime,2045,20.0,years,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",202 Natural gas boiler:  Technical lifetime
decentral gas boiler connection,investment,2045,172.24,EUR/kW_th,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",:  Possible additional specific investment
decentral gas boiler connection,lifetime,2045,50.0,years,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",:  Technical lifetime
decentral ground-sourced heat pump,FOM,2045,1.94,%/year,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",207.7 Ground source existing:  Fixed O&M
decentral ground-sourced heat pump,discount rate,2045,0.04,per unit,Palzer thesis, from old pypsa cost assumptions
decentral ground-sourced heat pump,efficiency,2045,4.01,per unit,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx","207.7 Ground source existing:  Heat efficiency, annual average, net, radiators, existing one family house"
decentral ground-sourced heat pump,investment,2045,1250.0,EUR/kW_th,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",207.7 Ground source existing:  Specific investment
decentral ground-sourced heat pump,lifetime,2045,20.0,years,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",207.7 Ground source existing:  Technical lifetime
decentral oil boiler,FOM,2045,2.0,%/year,Palzer thesis (https://energiesysteme-zukunft.de/fileadmin/user_upload/Publikationen/PDFs/ESYS_Materialien_Optimierungsmodell_REMod-D.pdf), from old pypsa cost assumptions
decentral oil boiler,efficiency,2045,0.9,per unit,Palzer thesis (https://energiesysteme-zukunft.de/fileadmin/user_upload/Publikationen/PDFs/ESYS_Materialien_Optimierungsmodell_REMod-D.pdf), from old pypsa cost assumptions
decentral oil boiler,investment,2045,156.01,EUR/kWth,Palzer thesis (https://energiesysteme-zukunft.de/fileadmin/user_upload/Publikationen/PDFs/ESYS_Materialien_Optimierungsmodell_REMod-D.pdf) (+eigene Berechnung), from old pypsa cost assumptions
decentral oil boiler,lifetime,2045,20.0,years,Palzer thesis (https://energiesysteme-zukunft.de/fileadmin/user_upload/Publikationen/PDFs/ESYS_Materialien_Optimierungsmodell_REMod-D.pdf), from old pypsa cost assumptions
decentral resistive heater,FOM,2045,2.0,%/year,Schaber thesis, from old pypsa cost assumptions
decentral resistive heater,discount rate,2045,0.04,per unit,Palzer thesis, from old pypsa cost assumptions
decentral resistive heater,efficiency,2045,0.9,per unit,Schaber thesis, from old pypsa cost assumptions
decentral resistive heater,investment,2045,100.0,EUR/kWhth,Schaber thesis, from old pypsa cost assumptions
decentral resistive heater,lifetime,2045,20.0,years,Schaber thesis, from old pypsa cost assumptions
decentral solar thermal,FOM,2045,1.3,%/year,HP, from old pypsa cost assumptions
decentral solar thermal,discount rate,2045,0.04,per unit,Palzer thesis, from old pypsa cost assumptions
decentral solar thermal,investment,2045,270000.0,EUR/1000m2,HP, from old pypsa cost assumptions
decentral solar thermal,lifetime,2045,20.0,years,HP, from old pypsa cost assumptions
decentral water tank storage,FOM,2045,1.0,%/year,HP, from old pypsa cost assumptions
decentral water tank storage,discount rate,2045,0.04,per unit,Palzer thesis, from old pypsa cost assumptions
decentral water tank storage,investment,2045,18.38,EUR/kWh,IWES Interaktion, from old pypsa cost assumptions
decentral water tank storage,lifetime,2045,20.0,years,HP, from old pypsa cost assumptions
direct air capture,FOM,2045,4.95,%/year,"Danish Energy Agency, technology_data_for_industrial_process_heat_0002.xlsx",403.a Direct air capture
direct air capture,compression-electricity-input,2045,0.15,MWh/tCO2,"Danish Energy Agency, technology_data_for_industrial_process_heat_0002.xlsx",403.a Direct air capture
direct air capture,compression-heat-output,2045,0.2,MWh/tCO2,"Danish Energy Agency, technology_data_for_industrial_process_heat_0002.xlsx",403.a Direct air capture
direct air capture,electricity-input,2045,0.29,MWh/tCO2,"Danish Energy Agency, technology_data_for_industrial_process_heat_0002.xlsx",403.a Direct air capture
direct air capture,heat-input,2045,1.5,MWh/tCO2,"Danish Energy Agency, technology_data_for_industrial_process_heat_0002.xlsx",403.a Direct air capture
direct air capture,heat-output,2045,0.75,MWh/tCO2,"Danish Energy Agency, technology_data_for_industrial_process_heat_0002.xlsx",403.a Direct air capture
direct air capture,investment,2045,4500000.0,EUR/(tCO2/h),"Danish Energy Agency, technology_data_for_industrial_process_heat_0002.xlsx",403.a Direct air capture
direct air capture,lifetime,2045,20.0,years,"Danish Energy Agency, technology_data_for_industrial_process_heat_0002.xlsx",403.a Direct air capture
electricity distribution grid,FOM,2045,2.0,%/year,TODO, from old pypsa cost assumptions
electricity distribution grid,investment,2045,500.0,EUR/kW,TODO, from old pypsa cost assumptions
electricity distribution grid,lifetime,2045,40.0,years,TODO, from old pypsa cost assumptions
electricity grid connection,FOM,2045,2.0,%/year,TODO, from old pypsa cost assumptions
electricity grid connection,investment,2045,140.0,EUR/kW,DEA, from old pypsa cost assumptions
electricity grid connection,lifetime,2045,40.0,years,TODO, from old pypsa cost assumptions
electrolysis,FOM,2045,2.0,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",86 AEC 100MW:  Fixed O&M 
electrolysis,efficiency,2045,0.73,per unit,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",86 AEC 100MW:  Hydrogen
electrolysis,investment,2045,275.0,EUR/kW_e,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",86 AEC 100MW:  Specific investment
electrolysis,lifetime,2045,33.5,years,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",86 AEC 100MW:  Technical lifetime
fuel cell,FOM,2045,5.0,%/year,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",12 LT-PEMFC CHP:  Fixed O&M
fuel cell,c_b,2045,1.25,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",12 LT-PEMFC CHP:  Cb coefficient
fuel cell,efficiency,2045,0.5,per unit,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","12 LT-PEMFC CHP:  Electricity efficiency, annual average"
fuel cell,investment,2045,875.0,EUR/kW_e,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",12 LT-PEMFC CHP:  Nominal investment
fuel cell,lifetime,2045,10.0,years,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",12 LT-PEMFC CHP:  Technical lifetime
gas,CO2 intensity,2045,0.2,tCO2/MWh_th,Entwicklung der spezifischen Kohlendioxid-Emissionen des deutschen Strommix in den Jahren 1990 - 2018,
gas,fuel,2045,20.1,EUR/MWh_th,BP 2019,
gas storage,FOM,2045,3.59,%,Danish Energy Agency,"150 Underground Storage of Gas, Operation and Maintenace, salt cavern (units converted)"
gas storage,investment,2045,0.03,EUR/kWh,Danish Energy Agency,"150 Underground Storage of Gas, Establishment of one cavern (units converted)"
gas storage,lifetime,2045,100.0,years,TODO no source,"estimation: most underground storage are already build, they do have a long lifetime"
gas storage charger,investment,2045,14.34,EUR/kW,Danish Energy Agency,"150 Underground Storage of Gas, Process equipment (units converted)"
gas storage discharger,investment,2045,4.78,EUR/kW,Danish Energy Agency,"150 Underground Storage of Gas, Process equipment (units converted)"
geothermal,CO2 intensity,2045,0.03,tCO2/MWhth,https://www.eia.gov/environment/emissions/co2_vol_mass.php, from old pypsa cost assumptions
geothermal,FOM,2045,2.36,%/year,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions
geothermal,efficiency,2045,0.24,per unit,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions
geothermal,investment,2045,3392.0,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions
geothermal,lifetime,2045,40.0,years,IEA2010, from old pypsa cost assumptions
helmeth,FOM,2045,3.0,%/year,no source, from old pypsa cost assumptions
helmeth,efficiency,2045,0.8,per unit,HELMETH press release, from old pypsa cost assumptions
helmeth,investment,2045,2000.0,EUR/kW,no source, from old pypsa cost assumptions
helmeth,lifetime,2045,25.0,years,no source, from old pypsa cost assumptions
home battery inverter,FOM,2045,0.68,%/year,"Global Energy System based on 100% Renewable Energy, Energywatchgroup/LTU University, 2019, Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Fixed O&M
home battery inverter,efficiency,2045,0.96,per unit,"Global Energy System based on 100% Renewable Energy, Energywatchgroup/LTU University, 2019, Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Round trip efficiency DC
home battery inverter,investment,2045,115.9,EUR/kW,"Global Energy System based on 100% Renewable Energy, Energywatchgroup/LTU University, 2019, Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Output capacity expansion cost investment
home battery inverter,lifetime,2045,10.0,years,"Global Energy System based on 100% Renewable Energy, Energywatchgroup/LTU University, 2019, Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx, Note K.",:  Technical lifetime
home battery storage,investment,2045,122.66,EUR/kWh,"Global Energy System based on 100% Renewable Energy, Energywatchgroup/LTU University, 2019, Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Energy storage expansion cost investment
home battery storage,lifetime,2045,30.0,years,"Global Energy System based on 100% Renewable Energy, Energywatchgroup/LTU University, 2019, Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  Technical lifetime
hydro,FOM,2045,1.0,%/year,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions
hydro,efficiency,2045,0.9,per unit,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions
hydro,investment,2045,2208.16,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions
hydro,lifetime,2045,80.0,years,IEA2010, from old pypsa cost assumptions
hydrogen storage tank,investment,2045,11.2,USD/kWh,budischak2013, from old pypsa cost assumptions
hydrogen storage tank,lifetime,2045,20.0,years,budischak2013, from old pypsa cost assumptions
hydrogen storage tank incl. compressor,FOM,2045,1.87,%/year,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",151a Hydrogen Storage - Tanks:  Fixed O&M
hydrogen storage tank incl. compressor,investment,2045,24.03,EUR/kWh,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",151a Hydrogen Storage - Tanks:  Specific investment
hydrogen storage tank incl. compressor,lifetime,2045,30.0,years,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",151a Hydrogen Storage - Tanks:  Technical lifetime
hydrogen storage underground,FOM,2045,0.0,%/year,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",151c Hydrogen Storage - Caverns:  Fixed O&M
hydrogen storage underground,VOM,2045,0.0,EUR/MWh,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",151c Hydrogen Storage - Caverns:  Variable O&M
hydrogen storage underground,investment,2045,1.35,EUR/kWh,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",151c Hydrogen Storage - Caverns:  Specific investment
hydrogen storage underground,lifetime,2045,100.0,years,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",151c Hydrogen Storage - Caverns:  Technical lifetime
industrial heat pump medium temperature,FOM,2045,0.11,%/year,"Danish Energy Agency, technology_data_for_industrial_process_heat_0002.xlsx",302.a High temp. hp Up to 125 C:  Fixed O&M
industrial heat pump medium temperature,VOM,2045,3.17,EUR/MWh,"Danish Energy Agency, technology_data_for_industrial_process_heat_0002.xlsx",302.a High temp. hp Up to 125 C:  Variable O&M
industrial heat pump medium temperature,efficiency,2045,2.82,per unit,"Danish Energy Agency, technology_data_for_industrial_process_heat_0002.xlsx","302.a High temp. hp Up to 125 C:  Total efficiency, net, annual average"
industrial heat pump medium temperature,investment,2045,715.0,EUR/kW,"Danish Energy Agency, technology_data_for_industrial_process_heat_0002.xlsx",302.a High temp. hp Up to 125 C:  Nominal investment
industrial heat pump medium temperature,lifetime,2045,20.0,years,"Danish Energy Agency, technology_data_for_industrial_process_heat_0002.xlsx",302.a High temp. hp Up to 125 C:  Technical lifetime
lignite,CO2 intensity,2045,0.41,tCO2/MWh_th,Entwicklung der spezifischen Kohlendioxid-Emissionen des deutschen Strommix in den Jahren 1990 - 2018,
lignite,FOM,2045,1.6,%/year,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
lignite,VOM,2045,3.5,EUR/MWh_e,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
lignite,efficiency,2045,0.33,per unit,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
lignite,fuel,2045,2.9,EUR/MWh_th,DIW,
lignite,investment,2045,3845.51,EUR/kW_e,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
lignite,lifetime,2045,40.0,years,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
methanation,FOM,2045,4.0,%/year,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
methanation,efficiency,2045,0.8,per unit,Palzer and Schaber thesis, from old pypsa cost assumptions
methanation,investment,2045,226.0,EUR/kW_CH4,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
methanation,lifetime,2045,30.0,years,"Fasihi et al 2017, table 1, https://www.mdpi.com/2071-1050/9/2/306",
methane storage tank incl. compressor,FOM,2045,1.9,%/year,"Guesstimate, based on hydrogen storage tank by DEA.",
methane storage tank incl. compressor,investment,2045,8629.2,EUR/m^3,Storage costs per l: https://www.compositesworld.com/articles/pressure-vessels-for-alternative-fuels-2014-2023 (2021-02-10).,
methane storage tank incl. compressor,lifetime,2045,30.0,years,"Guesstimate, based on hydrogen storage tank by DEA.",
methanolisation,FOM,2045,2.8,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",98 Methanol from power:  Fixed O&M
methanolisation,VOM,2045,6.27,EUR/MWh_MeOH,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",98 Methanol from power:  Variable O&M
methanolisation,investment,2045,1880.6,EUR/kW_MeOH,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",98 Methanol from power:  Specific investment
methanolisation,lifetime,2045,20.0,years,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",98 Methanol from power:  Technical lifetime
micro CHP,FOM,2045,6.33,%/year,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",219 LT-PEMFC mCHP - natural gas:  Fixed O&M
micro CHP,efficiency,2045,0.35,per unit,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx","219 LT-PEMFC mCHP - natural gas:  Electric efficiency, annual average, net"
micro CHP,efficiency-heat,2045,0.61,per unit,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx","219 LT-PEMFC mCHP - natural gas:  Heat efficiency, annual average, net"
micro CHP,investment,2045,6175.23,EUR/kW_th,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",219 LT-PEMFC mCHP - natural gas:  Specific investment
micro CHP,lifetime,2045,20.0,years,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",219 LT-PEMFC mCHP - natural gas:  Technical lifetime
nuclear,FOM,2045,1.4,%/year,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
nuclear,VOM,2045,3.5,EUR/MWh_e,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
nuclear,efficiency,2045,0.33,per unit,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
nuclear,fuel,2045,2.6,EUR/MWh_th,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
nuclear,investment,2045,7940.45,EUR/kW_e,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
nuclear,lifetime,2045,40.0,years,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
offwind,FOM,2045,2.29,%/year,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",21 Offshore turbines:  Fixed O&M
offwind,VOM,2045,2.43,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",21 Offshore turbines:  Variable O&M
offwind,investment,2045,1431.62,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",21 Offshore turbines:  Nominal investment grid connection costs substracted from investment costs
offwind,lifetime,2045,30.0,years,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",21 Offshore turbines:  Technical lifetime
offwind-ac-connection-submarine,investment,2045,2685.0,EUR/MW/km,DEA https://ens.dk/en/our-services/projections-and-models/technology-data, from old pypsa cost assumptions
offwind-ac-connection-underground,investment,2045,1342.0,EUR/MW/km,DEA https://ens.dk/en/our-services/projections-and-models/technology-data, from old pypsa cost assumptions
offwind-ac-station,investment,2045,250.0,EUR/kWel,DEA https://ens.dk/en/our-services/projections-and-models/technology-data, from old pypsa cost assumptions
offwind-dc-connection-submarine,investment,2045,2000.0,EUR/MW/km,DTU report based on Fig 34 of https://ec.europa.eu/energy/sites/ener/files/documents/2014_nsog_report.pdf, from old pypsa cost assumptions
offwind-dc-connection-underground,investment,2045,1000.0,EUR/MW/km,Haertel 2017; average + 13% learning reduction, from old pypsa cost assumptions
offwind-dc-station,investment,2045,400.0,EUR/kWel,Haertel 2017; assuming one onshore and one offshore node + 13% learning reduction, from old pypsa cost assumptions
oil,CO2 intensity,2045,0.27,tCO2/MWh_th,Entwicklung der spezifischen Kohlendioxid-Emissionen des deutschen Strommix in den Jahren 1990 - 2018,
oil,FOM,2045,2.42,%/year,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",50 Diesel engine farm:  Fixed O&M
oil,VOM,2045,6.0,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",50 Diesel engine farm:  Variable O&M
oil,efficiency,2045,0.35,per unit,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","50 Diesel engine farm:  Electricity efficiency, annual average"
oil,fuel,2045,50.0,EUR/MWhth,IEA WEM2017 97USD/boe = http://www.iea.org/media/weowebsite/2017/WEM_Documentation_WEO2017.pdf, from old pypsa cost assumptions
oil,investment,2045,337.75,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",50 Diesel engine farm:  Specific investment
oil,lifetime,2045,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",50 Diesel engine farm:  Technical lifetime
onwind,FOM,2045,1.18,%/year,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",20 Onshore turbines:  Fixed O&M
onwind,VOM,2045,1.23,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",20 Onshore turbines:  Variable O&M
onwind,investment,2045,970.32,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",20 Onshore turbines:  Nominal investment 
onwind,lifetime,2045,30.0,years,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",20 Onshore turbines:  Technical lifetime
ror,FOM,2045,2.0,%/year,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions
ror,efficiency,2045,0.9,per unit,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions
ror,investment,2045,3312.24,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348, from old pypsa cost assumptions
ror,lifetime,2045,80.0,years,IEA2010, from old pypsa cost assumptions
seawater desalination,FOM,2045,4.0,%/year,"Caldera et al 2016: Local cost of seawater RO desalination based on solar PV and windenergy: A global estimate. (https://doi.org/10.1016/j.desal.2016.02.004), Table 1.",
seawater desalination,electricity-input,2045,3.03,kWh/m^3-H2O,"Caldera et al 2016: Local cost of seawater RO desalination based on solar PV and windenergy: A global estimate. (https://doi.org/10.1016/j.desal.2016.02.004), Fig. 4.",
seawater desalination,investment,2045,23661.54,EUR/(m^3-H2O/h),"Caldera et al 2017: Learning Curve for Seawater Reverse Osmosis Desalination Plants: Capital Cost Trend of the Past, Present, and Future (https://doi.org/10.1002/2017WR021402), Table 4.",
seawater desalination,lifetime,2045,30.0,years,"Caldera et al 2016: Local cost of seawater RO desalination based on solar PV and windenergy: A global estimate. (https://doi.org/10.1016/j.desal.2016.02.004), Table 1.",
solar,FOM,2045,1.55,%/year,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",22 Photovoltaics Medium:  Fixed O&M
solar,VOM,2045,0.01,EUR/MWhel,RES costs made up to fix curtailment order, from old pypsa cost assumptions
solar,investment,2045,528.46,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","22 Photovoltaics Medium:  Specific investment, total system"
solar,lifetime,2045,35.0,years,"Assuming 50% rooftop, 50% utility",22 Photovoltaics Medium:  Technical lifetime of total system
solar-rooftop,FOM,2045,1.45,%/year,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",22 Photovoltaics Small:  Fixed O&M
solar-rooftop,discount rate,2045,0.04,per unit,standard for decentral, from old pypsa cost assumptions
solar-rooftop,investment,2045,600.49,EUR/kW,European PV Technology and Innovation Platform,"22 Photovoltaics Small:  Specific investment, total system"
solar-rooftop,lifetime,2045,30.0,years,European PV Technology and Innovation Platform,22 Photovoltaics Small:  Technical lifetime of total system
solar-utility,FOM,2045,2.04,%/year,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",22 Photovoltaics Large:  Fixed O&M
solar-utility,investment,2045,315.56,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",22 Photovoltaics Large:  Nominal investment
solar-utility,lifetime,2045,40.0,years,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx",22 Photovoltaics Large:  Technical lifetime
solid biomass,CO2 intensity,2045,0.3,tCO2/MWh_th,TODO,
solid biomass,fuel,2045,25.2,EUR/MWh_th,Is a 100% renewable European power system feasible by 2050?,
uranium,fuel,2045,2.6,EUR/MWh_th,Lazard s Levelized Cost of Energy Analysis - Version 13.0,
waste,FOM,2045,2.79,%/year,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","08 WtE CHP, Medium:  Fixed O&M"
waste,VOM,2045,24.13,EUR/MWh_e,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","08 WtE CHP, Medium:  Variable O&M "
waste,c_b,2045,0.31,40°C/80°C,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","08 WtE CHP, Medium:  Cb coefficient"
waste,c_v,2045,1.0,40°C/80°C,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","08 WtE CHP, Medium:  Cv coefficient"
waste,efficiency,2045,0.23,per unit,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","08 WtE CHP, Medium:  Electricity efficiency, net, annual average"
waste,efficiency-heat,2045,0.79,per unit,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","08 WtE CHP, Medium:  Heat efficiency, net, annual average"
waste,investment,2045,7804.43,EUR/kW_e,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","08 WtE CHP, Medium:  Nominal investment "
waste,lifetime,2045,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","08 WtE CHP, Medium:  Technical lifetime"
water tank charger,efficiency,2045,0.84,per unit,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  efficiency from sqr(Round trip efficiency)
water tank discharger,efficiency,2045,0.84,per unit,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",:  efficiency from sqr(Round trip efficiency)
woodpellets,FOM,2045,4.01,%/year,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","09b Wood Pellets, Medium:  Fixed O&M"
woodpellets,VOM,2045,1.88,EUR/MWh_e,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","09b Wood Pellets, Medium:  Variable O&M "
woodpellets,c_b,2045,0.45,40°C/80°C,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","09b Wood Pellets, Medium:  Cb coefficient"
woodpellets,c_v,2045,1.0,40°C/80°C,"Danish Energy Agency, technology_data_for_el_and_dh_-_0009.xlsx","09b Wood Pellets, Medium:  Cv coefficient"
